Model,gradient_variant,seed,SNRinp_target,SNRinp_measured,SINR,execution_time,n_sources,n_mixtures,n_samples,presumed_domain,SNR_1,SNR_2,SNR_3,SNR_4,SNR_5
PredictiveDecorrBSS,truncated,0,30.0,30.003921877920554,26.28668853097686,25.954783356981352,5,10,100000,sparse,27.90469884512905,28.156617776925685,26.444297855879913,25.946864089313596,24.192017711419037
PredictiveDecorrBSS,full,0,30.0,30.003921877920554,26.575567757039607,17.656412395997904,5,10,100000,sparse,27.9168660147451,28.192257578970036,26.61637409097691,27.175032472713625,24.217616708512647
PredictiveDecorrBSS,truncated,100,30.0,30.01013896108627,27.312881716234706,14.144221444003051,5,10,100000,sparse,29.30870896391196,26.555172804474296,27.025577464304288,27.172581719518675,26.99314905907108
PredictiveDecorrBSS,full,100,30.0,30.01013896108627,27.316815101651983,15.782592553994618,5,10,100000,sparse,29.311440686949794,26.56075407573562,27.029391907365437,27.17802398964632,26.994666347157718
PredictiveDecorrBSS,truncated,200,30.0,30.005513037743047,26.60420692395347,14.258470101980492,5,10,100000,sparse,24.116249062888386,28.717690967566796,26.816013748654264,28.532821268904975,26.573991616004285
PredictiveDecorrBSS,full,200,30.0,30.005513037743047,26.60863744912301,15.825562403013464,5,10,100000,sparse,24.119333784755987,28.722776289714858,26.822209385362363,28.538381740960244,26.578043735254063
PredictiveDecorrBSS,truncated,300,30.0,29.995061766958795,26.305249151092273,14.226993135991506,5,10,100000,sparse,27.379837047642535,29.218996793075526,23.73345932642338,26.698919286533176,26.34863167634534
PredictiveDecorrBSS,full,300,30.0,29.995061766958795,26.30608173614405,15.816167115001008,5,10,100000,sparse,27.38113571409091,29.22084174985475,23.733768425824096,26.700854091301704,26.348508142345523
PredictiveDecorrBSS,truncated,400,30.0,30.001287938126985,25.21375475467384,14.142816851002863,5,10,100000,sparse,26.26483603229473,23.511898953549405,27.806534970042158,27.258250367546914,23.298980249467903
PredictiveDecorrBSS,full,400,30.0,30.001287938126985,25.22203685753481,15.853213769994909,5,10,100000,sparse,26.273189268156667,23.516202469717538,27.809210789642407,27.273167470686992,23.31028732878069
PredictiveDecorrBSS,truncated,500,30.0,30.010303315852916,27.357620682091593,14.158511262998218,5,10,100000,sparse,27.68188955906838,27.441330024116404,27.56308499257097,26.947569241751715,27.18745342710811
PredictiveDecorrBSS,full,500,30.0,30.010303315852916,27.360217652910194,15.766604944015853,5,10,100000,sparse,27.685222919753002,27.44288816906836,27.56595324000315,26.949627532453633,27.190692681657307
PredictiveDecorrBSS,truncated,600,30.0,30.006325528614617,26.40737019337243,14.189738260000013,5,10,100000,sparse,28.46580596482271,23.525711751832496,29.112225799270295,25.81216097414094,27.672186803113377
PredictiveDecorrBSS,full,600,30.0,30.006325528614617,26.410118878951767,15.734390224999515,5,10,100000,sparse,28.46685439111583,23.528286987193844,29.115754401920565,25.814196729793572,27.677329588186215
PredictiveDecorrBSS,truncated,700,30.0,30.003730301313922,26.279553191888404,14.19229174600332,5,10,100000,sparse,26.087893126301953,26.30807862028043,26.669512277679253,27.55724969835995,25.138680515615913
PredictiveDecorrBSS,full,700,30.0,30.003730301313922,26.285443896560302,15.768361366004683,5,10,100000,sparse,26.089332642060516,26.31496673284949,26.674238167591255,27.574568187388113,25.141732630232955
PredictiveDecorrBSS,truncated,800,30.0,29.989045679417256,27.65105450501818,14.259067414997844,5,10,100000,sparse,27.878954105789905,26.73590959887436,28.585323228588177,28.557268028147597,26.879409886483256
PredictiveDecorrBSS,full,800,30.0,29.989045679417256,27.65552279544003,15.727232245000778,5,10,100000,sparse,27.88167462932105,26.74058728868458,28.59040818231147,28.55829649233655,26.886910097592928
PredictiveDecorrBSS,truncated,900,30.0,30.002182752288434,27.56301136925121,14.196364478004398,5,10,100000,sparse,25.671447029975745,28.67627601269674,28.12493435693498,27.756495405426065,28.2845969107402
PredictiveDecorrBSS,full,900,30.0,30.002182752288434,27.5653794757369,15.758669729984831,5,10,100000,sparse,25.676073595417858,28.67741038358066,28.126045668071548,27.75766818247807,28.286648620873738
PredictiveDecorrBSS,truncated,1000,30.0,29.994152030972508,27.353293045617463,14.23885422400781,5,10,100000,sparse,28.18273871648575,27.52817658579207,26.694491010092026,27.721472061557613,26.802085790795353
PredictiveDecorrBSS,full,1000,30.0,29.994152030972508,27.356318693310023,15.796980533981696,5,10,100000,sparse,28.186241218005968,27.52980392002388,26.696737877187378,27.725528183146828,26.805903579089115
PredictiveDecorrBSS,truncated,1100,30.0,29.992314889600713,26.853338838676674,14.187506777991075,5,10,100000,sparse,28.501444247783603,26.9959671709532,27.505649259624867,26.014780284511517,25.810318992648313
PredictiveDecorrBSS,full,1100,30.0,29.992314889600713,26.903043094318036,15.725467953976477,5,10,100000,sparse,28.52304762329296,26.9986158581146,27.516509977932927,26.215485335470213,25.797282399756035
PredictiveDecorrBSS,truncated,1200,30.0,30.001005455777722,24.75349283102915,14.201246438984526,5,10,100000,sparse,26.29093148162784,23.02456982026824,24.305076264329625,26.983547259056667,24.316595081528085
PredictiveDecorrBSS,full,1200,30.0,30.001005455777722,24.763933314923037,15.735261808003997,5,10,100000,sparse,26.31143188975529,23.023851755469217,24.32919166012328,27.00031937944003,24.318655245036183
PredictiveDecorrBSS,truncated,1300,30.0,30.00500816302031,27.228038430727537,14.170226600021124,5,10,100000,sparse,27.70678127732884,26.995606927193542,27.33529370180242,27.16423915908564,26.980334644316958
PredictiveDecorrBSS,full,1300,30.0,30.00500816302031,27.230044777090004,15.707267355988733,5,10,100000,sparse,27.707720992233686,26.997094618734295,27.336795099127357,27.166867175126956,26.983620833617326
PredictiveDecorrBSS,truncated,1400,30.0,30.007978380004637,27.195419913715902,14.247101665008813,5,10,100000,sparse,27.955486474016826,27.05882661588564,27.05374188316512,26.66924592006736,27.350209699501494
PredictiveDecorrBSS,full,1400,30.0,30.007978380004637,27.197907645378567,15.831398309994256,5,10,100000,sparse,27.959182469956882,27.060773745747344,27.05657737633998,26.67177357723981,27.351816909014545
PredictiveDecorrBSS,truncated,1500,30.0,29.976111224175668,27.85493282303502,14.127853425976355,5,10,100000,sparse,25.93702253698779,27.26065783045157,31.345861965516114,27.380007077304526,29.128056332481464
PredictiveDecorrBSS,full,1500,30.0,29.976111224175668,27.86094370317795,15.813951770978747,5,10,100000,sparse,25.94060388841051,27.26644964662489,31.358648554596726,27.381703217666157,29.141665722155455
PredictiveDecorrBSS,truncated,1600,30.0,29.99566342942844,25.42817665761904,14.16416614301852,5,10,100000,sparse,26.94198905226144,27.185533645010395,24.468295172057278,23.49356869914418,26.252079222946705
PredictiveDecorrBSS,full,1600,30.0,29.99566342942844,25.41236146875687,15.855211194022559,5,10,100000,sparse,26.95655707450723,27.19631179611533,24.4700778790828,23.459988934927875,26.196333659721738
PredictiveDecorrBSS,truncated,1700,30.0,30.009656940967503,27.857644705486226,14.209287781995954,5,10,100000,sparse,28.331870450780695,28.647202191829756,27.252438258344796,28.503233503176254,26.846660536527075
PredictiveDecorrBSS,full,1700,30.0,30.009656940967503,27.86264666744517,15.822705173981376,5,10,100000,sparse,28.334007837342593,28.65378943851402,27.26060462582097,28.509377509395165,26.849016805921323
PredictiveDecorrBSS,truncated,1800,30.0,29.998120365526148,27.39265993992312,14.18676385798608,5,10,100000,sparse,27.454981066829127,27.349576448643,29.11060539441999,27.241654883642195,26.269610107305787
PredictiveDecorrBSS,full,1800,30.0,29.998120365526148,27.397696565168083,15.795288017980056,5,10,100000,sparse,27.462040521221862,27.358488878663778,29.113003535117905,27.24624859685694,26.27181171522374
