Model,seed,rho,mixing_distribution,SINR,SNRinp_target,SNRinp_measured,execution_time,n_sources,n_mixtures,n_samples,SNR_1,SNR_2,SNR_3,SNR_4,SNR_5
PredictiveDecorrBSS,0,0.0,gaussian,25.20957752562955,30.0,30.006193215481147,34.64085878300102,5,10,100000,25.036573211108404,25.500666531526292,25.734645157824758,24.489774796185095,25.396145932959612
PredictiveDecorrBSS,100,0.0,gaussian,24.18253687139723,30.0,30.009742346622602,15.726474447998044,5,10,100000,23.751371613089624,27.88235048075925,23.374108875262635,23.602910849359017,23.685573552347783
PredictiveDecorrBSS,200,0.0,gaussian,24.285516593444573,30.0,30.0106514765465,15.797219887997926,5,10,100000,25.843720158017863,24.088603997973024,22.786244607412584,24.561542754885295,24.728968846458905
PredictiveDecorrBSS,300,0.0,gaussian,23.862732522971335,30.0,29.99435281337091,15.696799909997935,5,10,100000,26.43438129495507,25.554941845665216,23.363893910441792,25.442418476206985,20.953088783427567
PredictiveDecorrBSS,400,0.0,gaussian,25.927336683704976,30.0,30.014267357085934,15.766586410001764,5,10,100000,26.357509701799046,26.030832777563326,25.135373627148535,25.802678210691994,26.440436660189953
PredictiveDecorrBSS,500,0.0,gaussian,22.86520697925544,30.0,30.006882238138846,15.782791209996503,5,10,100000,25.026502736910402,18.781401416933438,28.9129639415778,24.96378095979562,23.025660786120774
PredictiveDecorrBSS,600,0.0,gaussian,25.545648369770248,30.0,29.99775489107826,16.152165187999344,5,10,100000,25.06543548126563,26.286690124026933,24.88196206213159,24.798092504507284,27.18682371394223
PredictiveDecorrBSS,700,0.0,gaussian,25.30137497961941,30.0,29.99881198467812,15.978198091001104,5,10,100000,25.65703677977654,23.917679610580546,24.694527652471017,26.224489436998937,26.58818643605896
PredictiveDecorrBSS,800,0.0,gaussian,25.347138826501254,30.0,29.99303777649395,16.109791828999732,5,10,100000,26.202660834344606,25.327390290415146,25.661598764813416,24.086754390495535,25.768576132251823
PredictiveDecorrBSS,900,0.0,gaussian,25.081832229630496,30.0,29.99994296081902,16.856595053999627,5,10,100000,28.516943323860193,24.512588239290565,24.63353667374539,24.61586231249191,24.346682811885827
PredictiveDecorrBSS,1000,0.0,gaussian,25.60076763313384,30.0,30.00723657444645,17.036051372000657,5,10,100000,25.718218453363633,25.386455971039304,25.736934744070552,25.47375969581192,25.700077853746244
PredictiveDecorrBSS,1100,0.0,gaussian,25.89248515470277,30.0,29.9886586225476,17.030796820999967,5,10,100000,26.10705385765874,25.218621690282546,25.858987983931158,25.79466349636742,26.59651346303064
PredictiveDecorrBSS,1200,0.0,gaussian,25.514685558765855,30.0,29.996488186012375,16.962253055000474,5,10,100000,25.150892270280977,30.445086709293413,23.33640507597061,25.85396932220734,25.453617926568036
