Model,seed,rho,mixing_distribution,SINR,SNRinp_target,SNRinp_measured,execution_time,n_sources,n_mixtures,n_samples,presumed_domain,SNR_1,SNR_2,SNR_3,SNR_4,SNR_5
PredictiveDecorrBSS,0,0.0,gaussian,26.21827099088541,30.0,30.009903002150317,25.476158545003273,5,10,100000,nnantisparse,27.693469212011937,24.7168399358303,27.089517547156262,25.794249958838734,26.420793243279107
PredictiveDecorrBSS,100,0.0,gaussian,25.03738908982097,30.0,30.00778686448836,8.726251005893573,5,10,100000,nnantisparse,25.550735972458373,28.570918819051492,25.808600431943056,25.998447713191094,21.95743666128888
PredictiveDecorrBSS,200,0.0,gaussian,26.584529202236794,30.0,30.011717793235213,8.71843164297752,5,10,100000,nnantisparse,26.723889331523047,27.62165324883,24.73341223077121,27.728261864378673,26.832188805580035
PredictiveDecorrBSS,300,0.0,gaussian,24.68998046755576,30.0,29.99965124859545,8.735590210999362,5,10,100000,nnantisparse,28.45945950819031,24.800408985911705,25.012827199322636,25.131801269708028,22.205594855225037
PredictiveDecorrBSS,400,0.0,gaussian,26.52027795884216,30.0,30.013810913886758,8.820927622029558,5,10,100000,nnantisparse,30.259713099465255,27.120865696566337,25.754623663468173,26.54943265692079,24.705130037000856
PredictiveDecorrBSS,500,0.0,gaussian,18.323129332053607,30.0,30.008444016233724,8.705318349064328,5,10,100000,nnantisparse,21.298500883095528,12.589114870326679,29.505217014460072,21.818565658595816,25.003224251658885
PredictiveDecorrBSS,600,0.0,gaussian,27.338161843860178,30.0,30.00183895384968,8.677960628992878,5,10,100000,nnantisparse,26.1885960642826,28.04741499257103,28.582634552649864,26.281529747054712,28.204929536339527
PredictiveDecorrBSS,700,0.0,gaussian,26.76902404564146,30.0,30.00363797860041,8.64349517703522,5,10,100000,nnantisparse,24.49118602633161,29.0836211822573,27.989269167768036,27.651804440963353,26.162915664445894
PredictiveDecorrBSS,800,0.0,gaussian,27.207582284517553,30.0,29.995870268816404,8.726908518001437,5,10,100000,nnantisparse,29.190714376116706,24.931464196742525,26.96923088650118,28.280402723084297,27.966193846826716
PredictiveDecorrBSS,900,0.0,gaussian,26.440302941296856,30.0,30.002227088238953,8.655089303967543,5,10,100000,nnantisparse,27.521369064652852,26.588034507051756,26.261204579970567,25.60099658758253,26.447182294724925
PredictiveDecorrBSS,1000,0.0,gaussian,27.437127879622164,30.0,30.00071126567605,8.704277344979346,5,10,100000,nnantisparse,28.45959279393043,27.5718818778585,26.97214605382093,27.11278756645108,27.227374444969726
PredictiveDecorrBSS,1100,0.0,gaussian,27.83829208847672,30.0,29.982464843833434,8.678235791972838,5,10,100000,nnantisparse,28.31510237210436,28.275250660183595,29.52158664448097,26.369911980229656,27.353188142476306
