Model,seed,n_sources,n_mixtures,n_samples,presumed_domain,SINR,SNRinp_target,SNRinp_measured,execution_time,SNR_1,SNR_2,SNR_3,SNR_4,SNR_5
PredictiveDecorrBSS,0,5,7,100000,sparse,24.40027203760033,30.0,29.988357137097573,29.18850569901406,25.766687268831806,24.50923336959037,22.286958835299735,23.216538736116856,28.949983882363334
PredictiveDecorrBSS,0,5,8,100000,sparse,24.604884378290546,30.0,30.016706673007256,14.458277550002094,25.239003830621325,24.708760649526276,22.44097050355474,24.19620928765632,28.454264794374453
PredictiveDecorrBSS,0,5,9,100000,sparse,25.57348083531054,30.0,30.002367523410673,14.66116720600985,26.09616090529216,24.926565017146743,24.01840580586617,26.398014182079518,27.15336523623627
PredictiveDecorrBSS,0,5,10,100000,sparse,26.391312147662056,30.0,29.99412146928069,14.542663482978242,27.433389164373775,25.614625544713178,26.483259152412305,26.685309941976705,25.95538233670938
PredictiveDecorrBSS,0,5,11,100000,sparse,26.42953104015302,30.0,30.006164614049467,14.460448655008804,27.62325390378387,25.58906059624173,26.605879353465156,26.697428433033043,25.905363635645735
PredictiveDecorrBSS,0,5,12,100000,sparse,26.725795499305267,30.0,30.002534183853996,14.415118022996467,28.02384458091279,26.19631767866172,26.622504797408077,27.253983578029903,25.854892880161202
PredictiveDecorrBSS,0,5,13,100000,sparse,26.636914979166598,30.0,29.997864149508864,14.420702984003583,27.942105113609394,26.31144590019213,26.358733448249243,27.19632809861669,25.704115298867197
PredictiveDecorrBSS,100,5,7,100000,sparse,20.336096118866948,30.0,29.996269029511655,14.59990275700693,22.993086315635843,17.5583557118591,17.95456552096849,27.089573195984403,22.404657727436884
PredictiveDecorrBSS,100,5,8,100000,sparse,21.05460350257948,30.0,29.994824883565133,14.36810059400159,23.661116634939145,18.5958275879214,18.92163553147897,25.988375675684203,22.39379059928502
PredictiveDecorrBSS,100,5,9,100000,sparse,23.66707389604809,30.0,29.991229981379703,14.35712695599068,24.87326341155077,21.379386733191833,22.294970122556812,27.347681183914226,24.911881648008137
PredictiveDecorrBSS,100,5,10,100000,sparse,23.792703663515063,30.0,29.99664823227895,14.407793739985209,25.056849682204728,21.564243739201565,22.284676333282654,26.75973295655968,25.57115534841116
PredictiveDecorrBSS,100,5,11,100000,sparse,23.806948497965692,30.0,29.996390640474733,14.514679476997117,24.803953147465098,21.609835060168567,22.480323900534962,26.57058116062349,25.59397941216499
PredictiveDecorrBSS,100,5,12,100000,sparse,23.74074674917972,30.0,29.999682776610967,14.453156866977224,24.850720035097893,21.539359946344025,22.504773816470337,26.06261220249805,25.59046611964949
PredictiveDecorrBSS,100,5,13,100000,sparse,25.15880674121743,30.0,29.99841307850433,14.4285290800035,26.014139835523792,23.893719951381204,23.84554448364057,26.443491494853816,26.44173139797165
PredictiveDecorrBSS,200,5,7,100000,sparse,24.378443746096433,30.0,29.98696264395167,14.598931759013794,22.441448832220694,23.53870831724734,29.246759949301747,26.105744711762565,23.521088595333516
PredictiveDecorrBSS,200,5,8,100000,sparse,25.356300687323298,30.0,29.98407296226487,14.488287090993254,23.565435423693582,24.62267883544243,27.876705072749726,26.00170150051091,25.913411841655435
PredictiveDecorrBSS,200,5,9,100000,sparse,25.978358235228654,30.0,30.001153112314178,14.560537564975675,27.92633139794492,24.550855652176512,27.983760906215895,24.024432395480275,27.058336732940194
PredictiveDecorrBSS,200,5,10,100000,sparse,25.768692235747736,30.0,29.991329765191622,14.401297698990675,24.666844201756035,24.81564395877593,26.152295986587085,26.881937819115926,26.85718386157836
PredictiveDecorrBSS,200,5,11,100000,sparse,26.229924143776163,30.0,29.99440054433601,14.555273057019804,25.709293302977194,25.699536323306024,26.032608477362498,26.53840895641354,27.379033275567224
PredictiveDecorrBSS,200,5,12,100000,sparse,26.319735611801008,30.0,30.00170346568857,14.439663369994378,25.812788652550758,25.73500791704607,26.29697428402803,26.614503498280836,27.317175692306968
PredictiveDecorrBSS,200,5,13,100000,sparse,26.423667303603573,30.0,30.005558482991542,14.984010604996001,26.41249269685568,25.54964326990957,26.257934039285253,26.639091431787175,27.45502288185623
PredictiveDecorrBSS,300,5,7,100000,sparse,18.7110103331132,30.0,30.0037494026402,14.87472940000589,13.698874111179848,25.675457667402878,26.78691154133345,24.126229371359496,18.02809330965184
PredictiveDecorrBSS,300,5,8,100000,sparse,22.76827154698763,30.0,30.003713383604694,14.856935769988922,22.80068037802568,26.042303226426064,25.859437069540085,29.066402433081873,18.29121842123633
PredictiveDecorrBSS,300,5,9,100000,sparse,23.16368514560577,30.0,29.983855793450665,14.352959608018864,22.929116285582616,25.914794965534927,26.32160448311786,29.102817143055248,18.901768438997667
